id,election_id,person_id,party_id,votes,vote_share,elected,created_at,updated_at
74,15,74,4,4943,8.43,0,2025-12-12 15:17:43,2025-12-12 15:17:43
75,15,75,4,3587,6.12,0,2025-12-12 15:17:43,2025-12-12 15:17:43
76,15,76,4,12506,21.34,0,2025-12-12 15:17:43,2025-12-12 15:17:43
77,16,77,5,9251,3.91,0,2025-12-12 15:17:45,2025-12-12 15:17:45
78,16,78,13,10983,4.64,0,2025-12-12 15:17:45,2025-12-12 15:17:45
79,16,79,16,69534,29.39,0,2025-12-12 15:17:45,2025-12-12 15:17:45
80,16,80,27,22293,9.42,0,2025-12-12 15:17:45,2025-12-12 15:17:45
81,16,81,18,124509,52.63,1,2025-12-12 15:17:45,2025-12-12 15:17:45
82,17,82,10,3301,4.55,0,2025-12-12 15:17:47,2025-12-12 15:17:47
83,17,83,28,20877,28.76,0,2025-12-12 15:17:47,2025-12-12 15:17:47
84,17,84,4,6423,8.85,0,2025-12-12 15:17:47,2025-12-12 15:17:47
85,17,85,4,7076,9.75,0,2025-12-12 15:17:47,2025-12-12 15:17:47
86,17,86,4,11803,16.26,0,2025-12-12 15:17:47,2025-12-12 15:17:47
87,17,87,4,23106,31.83,1,2025-12-12 15:17:47,2025-12-12 15:17:47
88,18,88,28,38736,38.86,1,2025-12-12 15:17:50,2025-12-12 15:17:50
89,18,89,29,9124,9.15,0,2025-12-12 15:17:50,2025-12-12 15:17:50
90,18,90,27,9879,9.91,0,2025-12-12 15:17:50,2025-12-12 15:17:50
91,18,91,4,5934,5.95,0,2025-12-12 15:17:50,2025-12-12 15:17:50
92,18,92,4,36012,36.13,0,2025-12-12 15:17:50,2025-12-12 15:17:50
93,19,93,26,12702,18.88,0,2025-12-12 15:17:52,2025-12-12 15:17:52
94,19,94,7,7235,10.75,0,2025-12-12 15:17:52,2025-12-12 15:17:52
95,19,95,8,47335,70.36,1,2025-12-12 15:17:52,2025-12-12 15:17:52
96,20,96,24,2181,3.62,0,2025-12-12 15:17:54,2025-12-12 15:17:54
97,20,97,11,19787,32.88,1,2025-12-12 15:17:54,2025-12-12 15:17:54
98,20,98,30,2209,3.67,0,2025-12-12 15:17:54,2025-12-12 15:17:54
99,20,99,31,14041,23.33,0,2025-12-12 15:17:54,2025-12-12 15:17:54
100,20,100,4,1861,3.09,0,2025-12-12 15:17:54,2025-12-12 15:17:54
101,20,101,4,3945,6.56,0,2025-12-12 15:17:54,2025-12-12 15:17:54
102,20,102,4,15025,24.97,0,2025-12-12 15:17:54,2025-12-12 15:17:54
103,20,103,4,1129,1.88,0,2025-12-12 15:17:54,2025-12-12 15:17:54
