id,official_name,common_name,type,parent_id,external_code,created_at,updated_at
1,Región Metropolitana,Región Metropolitana,REGION,,,2025-12-12 15:17:05,2025-12-12 15:17:05
2,Alhué,Alhué,COMMUNE,1,13502,2025-12-12 15:17:11,2025-12-12 15:17:11
3,Buin,Buin,COMMUNE,1,13402,2025-12-12 15:17:13,2025-12-12 15:17:13
4,Calera de Tango,Calera de Tango,COMMUNE,1,13403,2025-12-12 15:17:15,2025-12-12 15:17:15
5,Cerrillos,Cerrillos,COMMUNE,1,13102,2025-12-12 15:17:18,2025-12-12 15:17:18
6,Cerro Navia,Cerro Navia,COMMUNE,1,13103,2025-12-12 15:17:20,2025-12-12 15:17:20
7,Colina,Colina,COMMUNE,1,13301,2025-12-12 15:17:22,2025-12-12 15:17:22
8,Conchalí,Conchalí,COMMUNE,1,13104,2025-12-12 15:17:24,2025-12-12 15:17:24
9,Curacaví,Curacaví,COMMUNE,1,13405,2025-12-12 15:17:27,2025-12-12 15:17:27
10,El Bosque,El Bosque,COMMUNE,1,13105,2025-12-12 15:17:29,2025-12-12 15:17:29
11,El Monte,El Monte,COMMUNE,1,13603,2025-12-12 15:17:31,2025-12-12 15:17:31
12,Estación Central,Estación Central,COMMUNE,1,13106,2025-12-12 15:17:34,2025-12-12 15:17:34
13,Huechuraba,Huechuraba,COMMUNE,1,13107,2025-12-12 15:17:36,2025-12-12 15:17:36
14,Independencia,Independencia,COMMUNE,1,13108,2025-12-12 15:17:38,2025-12-12 15:17:38
15,Isla de Maipo,Isla de Maipo,COMMUNE,1,13406,2025-12-12 15:17:41,2025-12-12 15:17:41
16,La Cisterna,La Cisterna,COMMUNE,1,13109,2025-12-12 15:17:43,2025-12-12 15:17:43
17,La Florida,La Florida,COMMUNE,1,13110,2025-12-12 15:17:45,2025-12-12 15:17:45
18,La Granja,La Granja,COMMUNE,1,13111,2025-12-12 15:17:47,2025-12-12 15:17:47
19,La Pintana,La Pintana,COMMUNE,1,13112,2025-12-12 15:17:50,2025-12-12 15:17:50
20,La Reina,La Reina,COMMUNE,1,13113,2025-12-12 15:17:52,2025-12-12 15:17:52
21,Lampa,Lampa,COMMUNE,1,13302,2025-12-12 15:17:54,2025-12-12 15:17:54
22,Las Condes,Las Condes,COMMUNE,1,13114,2025-12-12 15:17:57,2025-12-12 15:17:57
23,Lo Barnechea,Lo Barnechea,COMMUNE,1,13115,2025-12-12 15:17:59,2025-12-12 15:17:59
24,Lo Espejo,Lo Espejo,COMMUNE,1,13116,2025-12-12 15:18:01,2025-12-12 15:18:01
25,Lo Prado,Lo Prado,COMMUNE,1,13117,2025-12-12 15:18:03,2025-12-12 15:18:03
