id,election_id,jurisdiction_id,valid_votes,blank_votes,null_votes,total_votes,participation_rate,created_at,updated_at
1,1,2,51113,2470,3837,57420,83.54,2025-12-13 09:57:59,2025-12-13 09:57:59
2,2,3,2363,23,18,2404,80.7,2025-12-13 09:57:59,2025-12-13 09:57:59
3,3,4,2071,14,18,2103,76.64,2025-12-13 09:57:59,2025-12-13 09:57:59
4,4,5,2896,48,66,3010,72.71,2025-12-13 09:57:59,2025-12-13 09:57:59
5,5,6,114663,5009,8804,128476,77.72,2025-12-13 09:57:59,2025-12-13 09:57:59
6,6,7,5167,64,138,5369,85.34,2025-12-13 09:57:59,2025-12-13 09:57:59
7,7,8,9095,267,395,9757,78.2,2025-12-13 09:57:59,2025-12-13 09:57:59
