id,official_name,common_name,type,parent_id,external_code,created_at,updated_at
1,Región de Tarapacá,Región de Tarapacá,REGION,,,2025-12-13 09:57:59,2025-12-13 09:57:59
2,Alto Hospicio,Alto Hospicio,COMMUNE,1,,2025-12-13 09:57:59,2025-12-13 09:57:59
3,Camiña,Camiña,COMMUNE,1,,2025-12-13 09:57:59,2025-12-13 09:57:59
4,Colchane,Colchane,COMMUNE,1,,2025-12-13 09:57:59,2025-12-13 09:57:59
5,Huara,Huara,COMMUNE,1,,2025-12-13 09:57:59,2025-12-13 09:57:59
6,Iquique,Iquique,COMMUNE,1,,2025-12-13 09:57:59,2025-12-13 09:57:59
7,Pica,Pica,COMMUNE,1,,2025-12-13 09:57:59,2025-12-13 09:57:59
8,Pozo Almonte,Pozo Almonte,COMMUNE,1,,2025-12-13 09:57:59,2025-12-13 09:57:59
