id,person_id,office_id,jurisdiction_id,started_on,status,created_at,updated_at
1,2,1,2,2024-12-06,ACTIVE,2025-12-13 09:57:59,2025-12-13 09:57:59
2,7,1,3,2024-12-06,ACTIVE,2025-12-13 09:57:59,2025-12-13 09:57:59
3,11,1,4,2024-12-06,ACTIVE,2025-12-13 09:57:59,2025-12-13 09:57:59
4,14,1,5,2024-12-06,ACTIVE,2025-12-13 09:57:59,2025-12-13 09:57:59
5,17,1,6,2024-12-06,ACTIVE,2025-12-13 09:57:59,2025-12-13 09:57:59
6,21,1,7,2024-12-06,ACTIVE,2025-12-13 09:57:59,2025-12-13 09:57:59
7,23,1,8,2024-12-06,ACTIVE,2025-12-13 09:57:59,2025-12-13 09:57:59
